QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
906,493,<quant-ph><quantum-information><quantum-computing><quantum-optics>,2012-02-09 15:17:55.613,909,15,216,2,6
907,638,<quantum-information><quantum-optics><software><linear-optics>,2012-02-09 17:09:18.220,,5,97,1,4
908,638,<quantum-information><quantum>,2012-02-09 17:31:52.950,,4,100,1,
912,194,<quantum-computing><adiabatic-theorem><level-crossing>,2012-02-11 12:48:44.907,,12,165,,5
913,168,<quantum-field-theory><yang-mills-theory><particle-physics><scattering><quantum-chromodynamics>,2012-02-12 01:30:35.943,,3,117,1,
915,730,<quantum-field-theory><math-ph><statistical-mechanics><cond-mat><cond-math.stat-mech>,2012-02-12 22:48:44.537,,6,158,1,
918,727,<quantum-mechanics><reference-request><quantum-measurement><hilbert-space>,2012-02-13 22:37:12.717,925,7,297,2,
921,260,<statistical-mechanics><spin-model>,2012-02-14 14:52:50.963,,3,80,,2
922,450,<quantum-information><entanglement>,2012-02-14 16:15:16.303,923,4,72,1,
924,150,<string-theory><conformal-field-theory>,2012-02-14 18:47:09.640,,5,137,1,7
926,835,<particle-physics><experimental-tests>,2012-02-15 00:38:28.053,,9,92,,
927,121,<journal-club>,2012-02-15 14:55:00.907,,8,327,6,2
934,617,<reference-request><general-relativity>,2012-02-16 02:51:27.403,,4,110,1,1
938,730,<quantum-mechanics>,2012-02-16 22:50:09.263,,2,56,,5
941,450,<conformal-field-theory><adscft>,2012-02-17 15:49:43.830,,6,149,1,
942,150,<quantum-mechanics>,2012-02-17 18:33:49.787,,4,121,2,
944,121,<quantum-mechanics><quant-ph>,2012-02-17 23:25:31.107,945,6,240,3,7
950,750,<quantum-mechanics><classical-field-theory>,2012-02-20 17:48:50.090,,6,309,4,2
954,885,<quantum-information><quantum-computing>,2012-02-21 00:01:01.997,955,5,88,1,
956,198,<quantum-field-theory><reference-request>,2012-02-21 18:04:05.383,,9,233,2,
957,888,<cosmology><astrophysics>,2012-02-21 18:36:51.170,,3,33,,
959,664,<quant-ph><quantum-information>,2012-02-22 15:08:32.277,964,4,106,3,1
960,711,<quantum-information><quantum-computing><quantum-optics>,2012-02-22 17:16:56.520,962,7,196,2,
961,730,<quantum-field-theory><quantum-chromodynamics>,2012-02-23 01:31:56.927,966,5,219,2,4
970,890,<adscft>,2012-02-24 16:52:58.677,,0,151,,4
971,498,<math-ph><book-recommendation>,2012-02-24 19:28:32.357,,7,300,3,1
973,893,<quantum-field-theory><reference-request>,2012-02-26 10:41:12.593,,4,286,3,2
975,682,<quantum-mechanics><symmetry>,2012-02-26 12:24:47.803,976,6,138,1,7
978,168,<quantum-field-theory><string-theory><yang-mills-theory><quantum-chromodynamics><scattering>,2012-02-26 23:18:17.607,,3,174,1,4
981,19,<reference-request><poincare-group><spherical-harmonics><vector-spherical-harmonic>,2012-02-28 13:13:11.780,,3,88,1,1
982,638,<quantum-mechanics><quant-ph><quantum-information>,2012-02-28 15:52:28.303,,1,159,1,6
983,298,<quantum-field-theory>,2012-02-28 17:02:20.747,,6,126,1,
986,900,<classical-thermodynamics><entropy>,2012-02-28 21:29:01.810,,0,67,,3
990,730,<quantum-field-theory><string-theory><supersymmetry>,2012-02-29 19:59:46.323,1012,4,223,1,3
991,198,<quantum-field-theory><reference-request>,2012-03-01 01:42:42.517,,4,149,1,4
992,761,<statistical-mechanics>,2012-03-01 03:09:53.627,,4,108,,8
997,617,<reference-request><general-relativity><special-relativity>,2012-03-04 00:59:26.193,1006,5,257,3,2
998,621,<renormalization><instanton><borel-resummation>,2012-03-04 08:40:04.257,,4,106,,2
1003,912,<soft-question>,2012-03-06 09:28:47.667,,3,131,2,3
1005,97,<quantum-mechanics><math-ph>,2012-03-06 15:15:51.730,1011,3,188,1,2
1007,168,<quantum-field-theory><yang-mills-theory><quantum-chromodynamics><scattering>,2012-03-06 22:45:04.710,,3,91,,2
1014,917,<quantum-electrodynamics>,2012-03-09 11:36:55.900,,2,145,,4
1016,285,<general-relativity><special-relativity>,2012-03-10 03:27:43.177,1017,1,124,1,
1018,923,<quantum-mechanics><quantum-information>,2012-03-10 11:49:03.903,,0,113,,2
1019,930,<quantum-mechanics><quantum-information><quantum-computing><special-relativity>,2012-03-11 07:10:47.710,,-1,258,1,11
1020,102,<quantum-mechanics><entanglement>,2012-03-11 07:16:00.137,,5,196,1,2
1028,638,<quantum>,2012-03-12 20:54:35.170,,0,47,1,1
