QId,QUserId,QTags,QTime,QAcceptedAnswerId,QScore,QViewCount,QAnswerCount,QCommentCount
1170,797,<macroeconomics><growth><growth-theory>,2012-03-31 12:15:35.900,,2,84,2,2
1171,821,<econometrics><sources>,2012-03-31 14:03:43.620,,1,38,,2
1174,432,<utility-function>,2012-04-02 05:47:33.880,1183,-3,107,2,8
1175,432,<welfare>,2012-04-02 06:51:26.890,,-4,53,,9
1176,829,<international-trade><trade>,2012-04-02 20:01:31.423,,1,33,1,
1177,830,<econometrics><price-adjustment>,2012-04-03 09:22:17.427,1180,3,144,2,
1181,838,<econometrics>,2012-04-04 11:23:20.210,1182,0,50,1,
1185,825,<interest-rates><security-analysis>,2012-04-06 09:05:49.900,,0,23,,1
1188,853,<econometrics>,2012-04-07 04:21:13.060,,0,60,1,1
1192,432,<marginal-utility>,2012-04-08 09:35:22.740,,-3,44,,1
1193,14,<demand>,2012-04-08 12:48:24.507,1195,0,54,1,
1323,114,<untagged>,2011-11-29 23:31:49.620,1324,3,29,2,1
